Month,Sales of shampoo over a three year period
1/1/2019,266
2/1/2019,145.9
3/1/2019,183.1
4/1/2019,119.3
5/1/2019,180.3
6/1/2019,168.5
7/1/2019,231.8
8/1/2019,224.5
9/1/2019,192.8
10/1/2019,122.9
11/1/2019,336.5
12/1/2019,185.9
1/2/2019,194.3
2/2/2019,149.5
3/2/2019,210.1
4/2/2019,273.3
5/2/2019,191.4
6/2/2019,287
7/2/2019,226
8/2/2019,303.6
9/2/2019,289.9
10/2/2019,421.6
11/2/2019,264.5
12/2/2019,342.3
1/3/2019,339.7
2/3/2019,440.4
3/3/2019,315.9
4/3/2019,439.3
5/3/2019,401.3
6/3/2019,437.4
7/3/2019,575.5
8/3/2019,407.6
9/3/2019,682
10/3/2019,475.3
11/3/2019,581.3
12/3/2019,646.9
